valor,hora,localizacao,tipo_conta,chave_pix,chave_historico_fraude,fraude
845.85,6,RS,corrente,25396619266,True,1
2343.04,21,BA,salario,83153281808,True,1
1195.22,0,PR,poupanca,35254229622,True,1
1294.31,16,BA,poupanca,83723909547,True,1
290.65,4,MG,poupanca,11236985035,False,0
1627.93,0,BA,corrente,76503735817,True,1
2699.74,8,RJ,corrente,08522663396,False,1
2040.67,19,SP,corrente,35570212798,False,1
1094.0,22,MG,salario,73276745078,False,0
2654.1,8,MG,corrente,76983676208,True,1
2022.6,15,SP,salario,25040813895,False,1
2905.23,23,MG,poupanca,03421471858,False,1
190.37,17,BA,salario,98202922779,False,0
1402.7,23,PR,salario,25085304658,True,1
2761.23,22,RJ,salario,84386939369,False,1
2744.58,21,RS,poupanca,83086204376,True,1
1626.39,13,SP,salario,50238649095,True,1
320.98,20,MG,salario,76983676208,True,1
1159.39,20,BA,poupanca,14307827127,True,1
2247.96,10,SP,poupanca,19169000772,True,1
2088.38,9,PR,poupanca,04053280886,True,1
2920.06,1,RJ,poupanca,27934995851,False,1
1820.23,23,MG,poupanca,63938194875,True,1
1169.98,16,MG,salario,83086204376,True,1
2985.37,0,PR,poupanca,86940505221,True,1
1206.73,17,SP,poupanca,10144660336,False,0
461.22,6,RS,corrente,74883987438,True,1
2037.16,0,RJ,poupanca,69576019160,False,1
1916.5,2,RJ,corrente,20584103208,False,1
788.06,11,BA,poupanca,15005709637,True,1
2238.5,0,MG,poupanca,79064286259,True,1
644.14,4,RS,poupanca,53521975925,False,1
2518.99,9,RJ,salario,03192263922,True,1
1322.23,8,PR,corrente,80068228392,False,0
306.75,12,MG,salario,12971737855,True,1
2551.68,1,RS,poupanca,52003759238,False,1
1560.44,10,BA,poupanca,50833850004,True,1
1661.94,0,RS,poupanca,72672213626,False,1
1994.15,14,MG,poupanca,68381086559,False,0
13.71,19,PR,poupanca,52593521235,False,0
168.3,12,RJ,poupanca,10144660336,False,0
1710.36,3,RJ,corrente,24150037879,False,1
1658.73,23,BA,corrente,66886455562,False,0
688.8,6,BA,salario,75722006644,False,1
455.99,9,BA,poupanca,92275910935,False,0
220.68,12,BA,poupanca,86940505221,True,1
2932.86,3,BA,poupanca,90742287565,True,1
1806.33,3,SP,salario,92076109629,True,1
2631.63,11,SP,corrente,49357956639,False,1
2409.51,16,PR,poupanca,99501588275,False,1
648.92,2,SP,corrente,34372337376,False,1
2137.14,19,BA,poupanca,12428018704,True,1
1890.55,6,RJ,poupanca,14307827127,True,1
842.0,18,RJ,corrente,00011120086,False,0
2886.59,23,RJ,corrente,25396619266,True,1
1000.99,14,RJ,salario,65836105655,True,1
945.48,10,BA,salario,80042974154,True,1
1068.58,17,SP,corrente,57416196987,True,1
491.65,21,BA,corrente,92076109629,True,1
113.71,2,RJ,poupanca,68519683977,True,1
377.82,23,MG,corrente,17528240273,True,1
1321.17,9,RJ,poupanca,81339235185,False,0
215.32,19,RS,poupanca,78311095468,False,0
660.71,21,BA,corrente,12971737855,True,1
79.42,23,MG,corrente,98529663978,False,0
435.76,20,BA,salario,97622039231,False,0
2397.83,0,SP,salario,59553028995,False,1
886.3,10,BA,corrente,19892177473,True,1
1537.67,16,SP,salario,78500669606,True,1
2407.39,7,RJ,salario,37459869587,False,1
1684.11,6,BA,poupanca,16759032692,False,1
663.14,4,PR,poupanca,47880396776,True,1
2194.15,3,RJ,poupanca,63520066428,True,1
1402.66,6,BA,poupanca,37159394005,True,1
2994.33,5,BA,poupanca,25040813895,False,1
2629.69,8,MG,corrente,40981295265,False,1
1754.44,17,RJ,poupanca,16759032692,False,0
195.91,10,MG,salario,86331739374,True,1
1772.0,8,SP,salario,57173182295,True,1
74.57,22,RS,salario,98809589191,True,1
2388.77,9,MG,corrente,52640027048,True,1
83.94,18,RS,poupanca,87129328005,True,1
1616.67,23,BA,salario,19130780869,True,1
797.98,1,BA,poupanca,66886455562,False,1
1436.08,16,BA,corrente,35570212798,False,0
1300.42,8,RS,corrente,31023511180,True,1
2649.88,10,SP,salario,77158262024,False,1
2979.75,18,PR,corrente,45792592153,True,1
2115.38,9,RJ,salario,68708727126,True,1
2831.02,18,RS,corrente,95399207452,True,1
986.84,14,RS,poupanca,39703351764,False,0
1957.47,6,PR,poupanca,35570212798,False,1
840.07,3,BA,salario,10061333723,False,1
232.08,10,BA,corrente,28789172327,True,1
259.81,0,SP,poupanca,19205633531,True,1
2402.84,18,RS,corrente,76503735817,True,1
2860.44,5,SP,salario,20689984320,False,1
495.38,14,MG,corrente,65359395034,True,1
2905.65,20,RS,poupanca,03421792842,False,1
1034.33,0,RJ,poupanca,08522663396,False,1
2452.49,9,PR,poupanca,37942150531,False,1
2694.51,16,MG,salario,37249484758,True,1
1011.71,0,BA,salario,19169000772,True,1
2069.68,0,RS,poupanca,83417849270,True,1
1541.57,22,BA,salario,10144660336,False,0
347.77,5,RS,poupanca,75348920787,False,1
2572.53,20,RJ,poupanca,61195410913,False,1
2078.8,7,RS,poupanca,08318106257,True,1
2325.92,10,RJ,corrente,68519683977,True,1
1983.9,17,BA,salario,36889760558,False,0
2584.49,16,BA,salario,38563236869,True,1
1942.95,7,SP,corrente,67342987252,True,1
1372.87,11,SP,poupanca,82173201296,False,0
2971.37,9,RS,salario,82173201296,False,1
1177.84,17,SP,salario,87129328005,True,1
164.3,5,RJ,corrente,11236985035,False,0
1095.61,21,BA,poupanca,78311095468,False,0
33.85,10,PR,poupanca,20584103208,False,0
1801.8,22,SP,poupanca,40074279911,True,1
2574.91,22,RJ,salario,31408095094,True,1
1773.66,18,SP,salario,21626385922,False,0
2107.66,14,PR,corrente,37835678737,False,1
978.65,22,BA,corrente,41632260871,False,0
1025.54,0,PR,salario,67991554361,False,1
2302.26,13,PR,salario,82074945903,True,1
2253.18,1,PR,salario,25085304658,True,1
2244.2,21,RS,salario,83723909547,True,1
2474.44,10,SP,salario,47880396776,True,1
322.32,7,BA,salario,37159394005,True,1
1448.07,4,PR,corrente,84386939369,False,1
2507.68,3,BA,poupanca,74718726916,True,1
603.87,11,PR,poupanca,86333340824,True,1
1344.21,2,RS,poupanca,53521975925,False,1
2702.81,9,BA,salario,68131275918,True,1
635.12,8,RJ,poupanca,36889760558,False,0
2102.38,18,MG,poupanca,00011120086,False,1
2985.45,1,RS,poupanca,39903159244,True,1
1174.07,5,RS,corrente,08522663396,False,1
256.96,14,BA,poupanca,73644360269,False,0
2457.71,0,PR,salario,12524583660,True,1
248.52,6,MG,salario,95399207452,True,1
2167.49,6,SP,salario,75348920787,False,1
1164.56,21,RJ,salario,86940505221,True,1
474.73,19,RS,corrente,17692721081,True,1
1767.44,18,PR,salario,30726410913,False,0
44.24,8,RJ,corrente,25396619266,True,1
362.53,9,MG,salario,95287569506,False,0
473.13,16,MG,salario,03192263922,True,1
2330.78,2,MG,corrente,81647904478,True,1
1452.8,16,SP,corrente,83153281808,True,1
2796.19,20,SP,salario,77158262024,False,1
2685.54,13,MG,salario,82074945903,True,1
1336.58,8,SP,corrente,50833850004,True,1
1827.53,14,RJ,salario,30726410913,False,0
211.95,7,BA,poupanca,78500669606,True,1
665.98,3,PR,corrente,74718726916,True,1
1132.08,19,BA,corrente,84073941011,False,0
2745.94,11,BA,salario,18764667202,False,1
717.73,8,BA,corrente,31408095094,True,1
482.45,9,BA,corrente,03421471858,False,0
921.4,3,RJ,salario,52593521235,False,1
1880.77,3,BA,poupanca,00011120086,False,1
2910.11,18,RJ,corrente,81647904478,True,1
2715.08,0,MG,salario,50238649095,True,1
2240.15,6,RJ,salario,73011702558,True,1
816.3,0,MG,poupanca,50238649095,True,1
1057.44,18,SP,salario,81647904478,True,1
800.67,12,PR,salario,86536455916,False,0
1263.46,20,MG,corrente,25396619266,True,1
2119.42,17,SP,poupanca,74718726916,True,1
2098.21,10,BA,corrente,08318106257,True,1
259.71,16,SP,corrente,86940505221,True,1
1776.47,18,BA,corrente,54691222463,False,0
907.1,16,PR,poupanca,12971737855,True,1
1473.63,23,SP,corrente,37459869587,False,0
614.76,5,MG,poupanca,75674448024,True,1
2751.86,21,RS,corrente,74718726916,True,1
1848.09,22,RS,poupanca,86331739374,True,1
960.47,12,RJ,salario,40730672005,False,0
2187.44,13,BA,salario,45457893282,False,1
2985.2,10,PR,salario,83153281808,True,1
2775.01,19,PR,poupanca,73644360269,False,1
1596.56,8,RJ,corrente,45601621040,True,1
2270.96,9,RJ,corrente,67069670947,False,1
2989.05,0,RS,poupanca,60996969166,False,1
137.39,9,RJ,corrente,34372337376,False,0
1062.59,4,MG,corrente,12944839297,False,1
1926.17,22,BA,salario,09141030384,False,0
2017.87,16,MG,corrente,47742701150,False,1
1491.7,0,MG,corrente,80068228392,False,1
358.01,11,SP,poupanca,68866314169,False,0
911.15,21,RJ,salario,63054567080,False,0
2536.6,6,SP,corrente,95287569506,False,1
2716.15,1,RS,salario,50238649095,True,1
401.54,5,MG,corrente,68519683977,True,1
2265.32,14,PR,salario,25396619266,True,1
1277.1,19,SP,corrente,09141030384,False,0
2902.79,10,RJ,poupanca,56666895189,False,1
2064.29,21,RS,salario,69576019160,False,1
2857.25,3,SP,salario,84995116803,True,1
2945.85,0,BA,poupanca,47742701150,False,1
510.86,15,RJ,poupanca,78500669606,True,1
1327.48,8,SP,poupanca,65836105655,True,1
362.55,3,RJ,poupanca,86333340824,True,1
2774.03,22,RS,corrente,13647098139,True,1
361.12,12,RS,poupanca,35570212798,False,0
1806.72,0,SP,corrente,79064286259,True,1
433.07,10,RJ,corrente,75348920787,False,0
892.75,22,MG,poupanca,37459869587,False,0
2573.83,23,SP,poupanca,95287569506,False,1
2313.19,9,MG,poupanca,13647098139,True,1
1508.33,3,PR,corrente,68708727126,True,1
841.26,11,BA,salario,88951849805,False,0
461.35,14,MG,salario,82074945903,True,1
1979.67,0,MG,corrente,82173201296,False,1
1512.12,15,MG,corrente,39903159244,True,1
1926.01,15,RJ,poupanca,83510998769,True,1
2334.44,15,RJ,salario,83723909547,True,1
1294.38,23,BA,salario,12428018704,True,1
1326.09,9,RJ,corrente,50833850004,True,1
2005.11,16,SP,corrente,49357956639,False,1
1961.96,9,SP,poupanca,20584103208,False,0
1689.73,1,RS,poupanca,91300470923,True,1
2594.69,5,PR,salario,08817877637,True,1
2998.82,13,MG,salario,27934995851,False,1
2459.18,12,RS,salario,19205633531,True,1
1826.02,21,MG,corrente,61051923157,True,1
1446.94,16,MG,corrente,86536455916,False,0
542.09,17,BA,corrente,08817877637,True,1
1453.19,10,PR,salario,19169000772,True,1
2570.16,11,MG,corrente,94414354471,True,1
2858.05,17,PR,salario,56666895189,False,1
2345.8,7,MG,corrente,72898095707,False,1
1529.51,22,SP,corrente,76983676208,True,1
2108.81,18,RS,salario,86331739374,True,1
1495.53,0,RS,corrente,28789172327,True,1
2749.83,18,RS,corrente,12971737855,True,1
758.71,3,RS,poupanca,59495094020,True,1
2370.61,4,SP,poupanca,91300470923,True,1
2042.19,0,BA,salario,04053280886,True,1
1926.3,19,PR,salario,20584103208,False,0
2778.52,18,PR,salario,16882389903,False,1
2984.73,2,MG,corrente,28799064762,True,1
795.66,7,RS,salario,35254229622,True,1
1416.84,12,PR,poupanca,83086204376,True,1
2623.88,13,MG,poupanca,84386939369,False,1
374.62,10,MG,corrente,58629150349,True,1
1450.51,9,MG,poupanca,86331739374,True,1
1254.94,12,RS,corrente,74796968696,False,0
1519.75,20,PR,poupanca,76983676208,True,1
334.64,21,BA,poupanca,38645874361,False,0
1716.11,5,MG,salario,83723909547,True,1
295.83,16,PR,salario,78500669606,True,1
2017.75,2,SP,salario,98529663978,False,1
1266.26,19,MG,poupanca,47880396776,True,1
844.99,8,SP,salario,72898095707,False,0
2011.66,15,MG,salario,80067922251,False,1
1465.59,23,RS,corrente,35075520981,True,1
2641.64,9,MG,corrente,85388295094,False,1
763.71,18,PR,salario,45457893282,False,0
454.3,10,PR,corrente,20689984320,False,0
1577.4,9,BA,corrente,42277751405,False,0
2355.75,11,PR,corrente,39891119814,False,1
461.18,8,BA,salario,12820380064,False,0
2519.61,8,PR,poupanca,24150037879,False,1
1523.13,19,MG,corrente,49392613224,True,1
2980.58,18,SP,salario,34372337376,False,1
1716.99,10,RS,salario,97622039231,False,0
1478.72,10,MG,corrente,68131275918,True,1
2767.29,11,SP,corrente,72898095707,False,1
2490.36,2,RS,salario,80042974154,True,1
2317.76,21,BA,corrente,18764667202,False,1
1154.36,7,BA,salario,87129328005,True,1
1213.9,12,PR,salario,72898095707,False,0
1319.54,19,PR,poupanca,61556028729,True,1
621.11,9,SP,corrente,86331739374,True,1
2700.9,19,SP,salario,65836105655,True,1
1712.88,0,RS,corrente,55536464689,True,1
1158.36,20,RS,poupanca,25085304658,True,1
517.18,20,SP,poupanca,37835678737,False,0
982.69,1,RS,corrente,03421792842,False,1
2224.12,11,SP,corrente,17692725060,True,1
2916.02,1,SP,corrente,19130780869,True,1
1565.11,23,SP,salario,68519683977,True,1
169.66,23,SP,poupanca,63938194875,True,1
809.26,7,BA,salario,80068228392,False,0
2656.21,11,RS,salario,28799064762,True,1
2514.02,5,BA,poupanca,85810622193,False,1
752.86,10,PR,salario,86536455916,False,0
1779.08,11,SP,poupanca,56471803671,False,0
672.45,7,RJ,poupanca,10285221152,True,1
318.63,3,PR,poupanca,50238649095,True,1
2895.15,22,PR,corrente,98202922779,False,1
1746.9,10,RS,salario,76503735817,True,1
335.63,21,RS,poupanca,13244572352,False,0
1440.75,13,PR,poupanca,08318106257,True,1
1362.81,11,MG,corrente,41632260871,False,0
2265.21,8,SP,poupanca,41029137614,True,1
2492.03,0,PR,poupanca,03192263922,True,1
1162.98,5,SP,salario,30881965821,True,1
2009.26,9,BA,poupanca,98529663978,False,1
1422.82,17,MG,salario,83181669880,True,1
599.22,20,MG,corrente,78500669606,True,1
1237.26,2,PR,salario,39891119814,False,1
2699.34,19,PR,salario,61556028729,True,1
272.97,4,SP,corrente,37835678737,False,0
2725.15,19,SP,poupanca,86940505221,True,1
1292.15,20,RS,corrente,03997709892,True,1
2695.15,14,RJ,corrente,79064286259,True,1
2694.96,15,RJ,salario,60996969166,False,1
2896.83,2,BA,corrente,21746943406,True,1
196.07,5,RJ,corrente,52003759238,False,0
397.96,6,BA,corrente,35254229622,True,1
1954.48,13,BA,poupanca,87129328005,True,1
722.64,11,PR,salario,04053280886,True,1
2202.3,17,PR,salario,95287569506,False,1
652.24,3,PR,poupanca,74883987438,True,1
1605.5,20,MG,salario,81339235185,False,0
1992.72,8,BA,salario,61195410913,False,0
1152.14,3,SP,poupanca,88951849805,False,1
1908.12,15,MG,salario,41029137614,True,1
2360.64,1,BA,poupanca,28789172327,True,1
2087.72,21,BA,corrente,76503735817,True,1
998.58,13,RS,corrente,50833850004,True,1
1338.6,17,RS,salario,09409571006,True,1
688.0,19,PR,salario,80068228392,False,0
1979.26,14,PR,poupanca,56580525157,False,0
2420.13,10,RJ,poupanca,98529663978,False,1
995.49,10,MG,poupanca,83181669880,True,1
1361.56,3,MG,salario,83510998769,True,1
2250.09,14,RJ,corrente,39116138805,False,1
2581.6,19,BA,poupanca,78311095468,False,1
2340.97,17,SP,corrente,88951849805,False,1
537.58,8,RJ,poupanca,12820380064,False,0
306.87,2,BA,poupanca,08817877637,True,1
2575.73,15,BA,salario,63359298933,False,1
2723.75,11,RS,corrente,52003759238,False,1
615.76,15,PR,poupanca,11236985035,False,0
2325.24,20,PR,corrente,83510998769,True,1
1064.65,10,RJ,poupanca,09409571006,True,1
2463.61,13,RS,poupanca,68708727126,True,1
1288.71,11,RS,corrente,19892177473,True,1
1091.16,18,SP,poupanca,67946617739,True,1
1447.99,22,MG,salario,54691222463,False,0
255.4,5,MG,salario,46792295310,True,1
2738.29,22,RS,corrente,40074279911,True,1
1815.12,12,MG,corrente,03421471858,False,0
2539.55,11,PR,corrente,19892177473,True,1
2840.91,13,PR,salario,49392613224,True,1
2541.03,2,BA,salario,37249484758,True,1
2284.25,10,MG,poupanca,37159394005,True,1
1384.22,12,RS,salario,68866314169,False,0
1661.19,9,RJ,poupanca,75722006644,False,0
1315.88,9,RS,salario,74718726916,True,1
1501.86,23,BA,poupanca,58504544914,False,0
997.89,7,SP,salario,15005709637,True,1
1217.0,21,RS,salario,39116138805,False,0
2497.4,23,RS,corrente,30408761018,False,1
375.57,11,RJ,corrente,63054567080,False,0
378.7,0,BA,corrente,81647904478,True,1
1791.97,21,PR,poupanca,36889760558,False,0
2234.37,18,BA,corrente,76503735817,True,1
1345.29,12,PR,corrente,50238649095,True,1
1573.13,18,PR,corrente,28789172327,True,1
1983.82,11,PR,poupanca,90742287565,True,1
1568.91,14,MG,salario,03421792842,False,0
21.75,21,MG,poupanca,59553028995,False,0
799.58,20,RS,corrente,07138266565,False,0
2868.5,4,BA,salario,90742287565,True,1
830.53,2,RJ,salario,29287476034,True,1
129.68,16,SP,corrente,68131275918,True,1
1209.13,20,BA,corrente,46005520766,True,1
2275.15,10,PR,salario,42277751405,False,1
1786.09,10,BA,corrente,79064286259,True,1
1479.49,11,PR,poupanca,41632260871,False,0
748.74,17,SP,corrente,60859513222,False,0
2289.44,0,MG,corrente,51569063073,False,1
1233.6,22,SP,salario,48526971262,False,0
2059.34,19,MG,corrente,68519683977,True,1
320.58,23,RS,salario,12428018704,True,1
307.37,2,BA,poupanca,37249484758,True,1
515.78,2,RS,corrente,30881965821,True,1
2252.34,13,PR,corrente,37835678737,False,1
1831.09,8,SP,poupanca,65359395034,True,1
2163.37,16,RS,poupanca,64663588335,True,1
13.23,16,MG,poupanca,21626385922,False,0
2027.22,5,RJ,corrente,45792592153,True,1
2171.96,0,BA,poupanca,56580525157,False,1
2814.21,17,RS,corrente,12428018704,True,1
1498.9,13,MG,corrente,81647904478,True,1
392.38,20,RJ,corrente,49357956639,False,0
1250.2,5,SP,salario,60859513222,False,1
478.29,17,RS,poupanca,62216586388,True,1
103.76,10,BA,salario,86940505221,True,1
836.01,15,MG,poupanca,73276745078,False,0
1443.19,18,BA,poupanca,12428018704,True,1
522.73,23,PR,salario,49392613224,True,1
2656.18,21,RJ,poupanca,30408761018,False,1
2603.45,0,BA,salario,45601621040,True,1
900.42,23,MG,salario,20584103208,False,0
1740.05,22,SP,corrente,63520066428,True,1
1073.68,8,BA,poupanca,72672213626,False,0
989.36,16,BA,salario,16759032692,False,0
1152.9,15,RS,poupanca,31023511180,True,1
140.14,21,PR,corrente,56580525157,False,0
1185.11,3,BA,salario,68131275918,True,1
1807.48,6,RJ,poupanca,81647904478,True,1
876.57,4,RS,poupanca,83086204376,True,1
2170.81,2,RS,salario,19205633531,True,1
1667.46,18,RJ,poupanca,86331739374,True,1
1944.5,8,RJ,salario,34372337376,False,0
1352.62,22,RS,salario,93029957024,True,1
1232.66,0,PR,salario,61051923157,True,1
2251.46,4,RJ,poupanca,44129226281,False,1
1130.86,21,MG,salario,80068228392,False,0
2466.01,10,SP,salario,92076109629,True,1
2942.36,4,SP,poupanca,74796968696,False,1
602.68,2,SP,poupanca,17692725060,True,1
1570.03,23,BA,salario,25040813895,False,0
1905.47,20,BA,salario,30408761018,False,0
548.43,11,BA,corrente,18764667202,False,0
1102.44,20,PR,poupanca,16759032692,False,0
2873.95,0,RS,poupanca,03421792842,False,1
1865.01,17,RJ,poupanca,40730672005,False,0
674.79,0,MG,corrente,30881965821,True,1
1339.78,18,RS,corrente,75348920787,False,0
1596.94,10,PR,poupanca,76638104070,False,0
946.0,20,BA,salario,55536464689,True,1
532.69,17,BA,salario,67946617739,True,1
318.11,13,PR,poupanca,58504544914,False,0
329.22,16,PR,salario,40730672005,False,0
104.88,10,PR,corrente,18764667202,False,0
1749.3,11,RJ,poupanca,38563236869,True,1
1354.64,22,SP,corrente,10177727566,True,1
2372.69,14,BA,salario,98529663978,False,1
2615.3,0,RS,poupanca,41029137614,True,1
2530.04,2,BA,salario,68866314169,False,1
449.73,10,PR,salario,57416196987,True,1
580.41,16,RS,corrente,03421471858,False,0
1289.11,21,RS,poupanca,31408095094,True,1
1241.44,15,MG,salario,84995116803,True,1
1705.16,12,RS,poupanca,30881965821,True,1
1865.73,1,PR,salario,87133689075,True,1
642.37,15,SP,poupanca,78500669606,True,1
848.78,3,SP,poupanca,20584103208,False,1
1318.0,7,RJ,poupanca,13461210683,True,1
591.17,9,BA,salario,49357956639,False,0
286.67,6,PR,salario,39116138805,False,0
2398.65,19,SP,salario,94414354471,True,1
599.25,2,BA,corrente,14307827127,True,1
2991.76,15,PR,poupanca,68519683977,True,1
1983.69,18,RS,corrente,75674448024,True,1
1754.4,13,RJ,poupanca,17692725060,True,1
1260.04,9,MG,corrente,68131275918,True,1
2375.82,12,RJ,salario,45457893282,False,1
1116.99,4,MG,poupanca,49357956639,False,1
1910.0,19,SP,corrente,38645874361,False,0
1173.32,15,BA,corrente,67946617739,True,1
2298.36,19,RS,salario,40730672005,False,1
377.59,1,RS,poupanca,29287476034,True,1
2712.64,19,BA,poupanca,29287476034,True,1
2635.43,19,MG,salario,56471803671,False,1
882.19,5,RJ,poupanca,30242900384,False,1
2451.79,1,RJ,poupanca,12428018704,True,1
802.19,16,BA,poupanca,39891119814,False,0
108.44,13,RJ,corrente,36889760558,False,0
1187.04,12,MG,salario,40074279911,True,1
1068.77,17,RJ,corrente,72898095707,False,0
2391.02,14,RS,poupanca,03192263922,True,1
1367.41,21,PR,corrente,16759032692,False,0
1250.1,23,RJ,corrente,68381086559,False,0
2659.39,12,BA,corrente,83153281808,True,1
414.52,16,RJ,salario,03192263922,True,1
2852.09,1,PR,salario,68519683977,True,1
883.09,12,PR,corrente,39116138805,False,0
1307.8,19,SP,corrente,67991554361,False,0
1741.54,22,BA,corrente,76638104070,False,0
808.44,17,RS,salario,39891119814,False,0
2425.15,4,BA,poupanca,13461210683,True,1
839.6,4,RS,salario,95399207452,True,1
1848.91,19,PR,poupanca,97622039231,False,0
950.64,8,PR,poupanca,12524583660,True,1
600.42,5,RJ,corrente,46005520766,True,1
240.2,6,MG,salario,68131275918,True,1
1005.87,4,SP,salario,08817877637,True,1
165.99,7,BA,corrente,66886455562,False,0
1395.69,15,RS,poupanca,87133689075,True,1
1054.34,4,PR,poupanca,21746943406,True,1
